Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.8886214011987815,0.5625,0.007926023778071334,0.015631784628745114,0.6774591757810924
Random Forest,0.8885231404146605,0.5625,0.003963011889035667,0.007870572802798426,0.66740639382087
Logistic Regression,0.6357964036553012,0.16558272632674298,0.5605460149713782,0.25564815744552666,0.6372731657412285
Neural Network,0.888375749238479,0.3333333333333333,0.00044033465433729633,0.0008795074758135445,0.6245962493071906
